Time (s),Voltage (V)
0.0,0.028
1e-09,0.0256
2e-09,0.0224
3e-09,0.019200000000000002
4e-09,0.0176
5e-09,0.016800000000000002
6e-09,0.0184
7e-09,0.0216
8e-09,0.024800000000000003
9e-09,0.027200000000000002
1e-08,0.028
1.1e-08,0.027200000000000002
1.2e-08,0.0256
1.3e-08,0.0224
1.4e-08,0.019200000000000002
1.5e-08,0.0176
1.6e-08,0.016800000000000002
1.7e-08,0.0184
1.8e-08,0.0224
1.9e-08,0.0256
2e-08,0.028800000000000003
2.1e-08,0.0296
2.2e-08,0.028
2.3e-08,0.024
2.4e-08,0.019200000000000002
2.5e-08,0.016
2.6e-08,0.014400000000000001
2.7e-08,0.016
2.8e-08,0.02
2.9e-08,0.0256
3e-08,0.0304
3.1e-08,0.032
3.2e-08,0.0304
3.3e-08,0.0256
3.4e-08,0.019200000000000002
3.5e-08,0.013600000000000001
3.6e-08,0.0112
3.7e-08,0.0128
3.8e-08,0.0176
3.9e-08,0.0256
4e-08,0.032
4.1e-08,0.0352
4.2e-08,0.0344
4.3e-08,0.028
4.4e-08,0.02
4.5e-08,0.012
4.6e-08,0.008
4.7e-08,0.009600000000000001
4.8e-08,0.016800000000000002
4.9e-08,0.0256
5e-08,0.033600000000000005
5.1e-08,0.0376
5.2e-08,0.0368
5.3e-08,0.0296
5.4e-08,0.02
5.5e-08,0.010400000000000001
5.6e-08,0.0056
5.7e-08,0.007200000000000001
5.8e-08,0.0152
5.9e-08,0.024800000000000003
6e-08,0.0344
6.1e-08,0.0392
6.2e-08,0.0376
6.3e-08,0.0304
6.4e-08,0.019200000000000002
6.5e-08,0.009600000000000001
6.6e-08,0.0048000000000000004
6.7e-08,0.0064
6.8e-08,0.014400000000000001
6.9e-08,0.0256
7e-08,0.0352
7.1e-08,0.04
7.2e-08,0.038400000000000004
7.3e-08,0.0304
7.4e-08,0.02
7.5e-08,0.010400000000000001
7.6e-08,0.0048000000000000004
7.7e-08,0.0064
7.8e-08,0.014400000000000001
7.9e-08,0.024800000000000003
8e-08,0.033600000000000005
8.1e-08,0.038400000000000004
8.2e-08,0.0368
8.3e-08,0.0296
8.4e-08,0.02
8.5e-08,0.012
8.6e-08,0.007200000000000001
8.7e-08,0.0088
8.8e-08,0.0152
8.9e-08,0.024800000000000003
9e-08,0.0328
9.1e-08,0.0368
9.2e-08,0.0352
9.3e-08,0.0296
9.4e-08,0.0216
9.5e-08,0.014400000000000001
9.6e-08,0.010400000000000001
9.7e-08,0.0112
9.8e-08,0.016
9.9e-08,0.023200000000000002
1e-07,0.0296
1.01e-07,0.0328
1.02e-07,0.032
1.03e-07,0.028
1.04e-07,0.0224
1.05e-07,0.016800000000000002
1.06e-07,0.013600000000000001
1.07e-07,0.013600000000000001
1.08e-07,0.016800000000000002
1.09e-07,0.0216
1.1e-07,0.0264
1.11e-07,0.028800000000000003
1.12e-07,0.0296
1.13e-07,0.027200000000000002
1.14e-07,0.024
1.15e-07,0.02
1.16e-07,0.016800000000000002
1.17e-07,0.016
1.18e-07,0.016800000000000002
1.19e-07,0.02
1.2e-07,0.023200000000000002
1.21e-07,0.0264
1.22e-07,0.028
1.23e-07,0.028
1.24e-07,0.0256
1.25e-07,0.0224
1.26e-07,0.02
1.27e-07,0.0176
1.28e-07,0.0176
1.29e-07,0.0184
1.3e-07,0.020800000000000003
1.31e-07,0.024
1.32e-07,0.0264
1.33e-07,0.027200000000000002
1.34e-07,0.0264
1.35e-07,0.024
1.36e-07,0.0216
1.37e-07,0.0184
1.38e-07,0.016800000000000002
